frame,xmin,xmax,ymin,ymax,class_id
1478019963682173845.jpg,173,206,140,165,1
1478019963682173845.jpg,285,295,138,160,3
1478019963682173845.jpg,407,434,135,144,1
1478019964181479375.jpg,52,79,142,156,1
1478019964181479375.jpg,113,138,142,155,1
1478019964181479375.jpg,180,209,139,162,1
1478019964181479375.jpg,295,306,133,155,3
1478019964687995430.jpg,100,125,144,163,1
1478019964687995430.jpg,184,210,139,162,1
1478019964687995430.jpg,306,319,137,160,3
1478019965181415731.jpg,75,109,141,163,1
1478019965181415731.jpg,189,212,139,162,1
1478019965181415731.jpg,219,229,142,150,1
1478019965181415731.jpg,230,235,127,135,5
1478019965181415731.jpg,255,271,141,151,1
1478019965181415731.jpg,328,342,132,164,3
1478019965682301515.jpg,188,215,139,161,1
1478019965682301515.jpg,220,230,143,151,1
1478019965682301515.jpg,231,237,127,135,5
1478019965682301515.jpg,258,274,141,151,1
1478019965682301515.jpg,350,367,127,168,3
1478019966187511711.jpg,188,218,139,161,1
1478019966187511711.jpg,220,230,142,150,1
1478019966187511711.jpg,231,237,126,135,5
1478019966187511711.jpg,259,275,141,151,1
1478019966688931929.jpg,188,197,141,153,1
1478019966688931929.jpg,193,218,141,159,1
1478019966688931929.jpg,219,229,142,150,1
1478019966688931929.jpg,233,238,126,134,5
1478019967180239928.jpg,180,195,143,154,1
1478019967180239928.jpg,190,215,141,159,1
1478019967180239928.jpg,219,228,142,150,1
1478019967180239928.jpg,230,236,125,134,5
1478019967686224547.jpg,167,185,143,156,1
1478019967686224547.jpg,188,212,142,160,1
1478019967686224547.jpg,214,225,142,152,1
1478019967686224547.jpg,227,232,126,134,5
1478019968180276750.jpg,153,174,142,158,1
1478019968180276750.jpg,186,211,142,160,1
1478019968180276750.jpg,212,222,144,153,1
1478019968180276750.jpg,225,230,126,134,5
1478019968680240537.jpg,134,160,140,159,1
1478019968680240537.jpg,184,204,142,160,1
1478019968680240537.jpg,207,219,142,151,1
1478019968680240537.jpg,208,220,144,151,1
1478019968680240537.jpg,222,227,124,133,5
1478019969186707568.jpg,101,135,140,162,1
1478019969186707568.jpg,182,202,143,161,1
1478019969186707568.jpg,204,215,144,152,1
1478019969186707568.jpg,204,217,143,153,1
1478019969186707568.jpg,218,224,124,132,5
1478019969688638443.jpg,46,95,138,169,1
1478019969688638443.jpg,177,198,142,159,1
1478019969688638443.jpg,198,212,142,153,1
1478019969688638443.jpg,199,211,145,152,1
1478019969688638443.jpg,214,220,123,131,5
1478019970188563338.jpg,153,158,131,140,5
1478019970188563338.jpg,174,195,143,160,1
1478019970188563338.jpg,194,207,142,153,1
1478019970188563338.jpg,195,206,144,151,1
1478019970188563338.jpg,210,216,121,130,5
1478019970680532186.jpg,146,151,132,140,5
1478019970680532186.jpg,170,191,142,159,1
1478019970680532186.jpg,189,203,141,152,1
1478019970680532186.jpg,190,202,143,150,1
1478019970680532186.jpg,206,212,119,129,5
1478019971185917857.jpg,141,146,130,138,5
1478019971185917857.jpg,169,190,141,158,1
1478019971185917857.jpg,188,202,140,151,1
1478019971185917857.jpg,189,200,141,149,1
1478019971185917857.jpg,205,211,117,126,5
1478019971686116476.jpg,136,142,129,137,5
1478019971686116476.jpg,146,159,142,151,4
1478019971686116476.jpg,166,187,140,157,1
1478019971686116476.jpg,185,189,116,125,5
1478019971686116476.jpg,186,200,139,150,1
1478019971686116476.jpg,188,199,140,148,1
1478019971686116476.jpg,204,209,115,123,5
1478019971686116476.jpg,204,210,114,123,5
1478019971686116476.jpg,214,227,135,150,4
1478019971686116476.jpg,241,249,119,129,5
1478019971686116476.jpg,265,306,135,149,1
1478019972180014279.jpg,124,138,142,152,4
1478019972180014279.jpg,132,137,128,136,5
1478019972180014279.jpg,163,184,140,157,1
1478019972180014279.jpg,182,186,115,124,5
1478019972180014279.jpg,184,197,140,151,1
1478019972180014279.jpg,185,196,139,147,1
1478019972180014279.jpg,202,207,113,121,5
1478019972180014279.jpg,203,209,112,121,5
1478019972180014279.jpg,242,250,118,128,5
1478019972180014279.jpg,268,300,133,149,1
1478019972180014279.jpg,275,283,137,160,3
1478019972685986697.jpg,34,65,144,157,1
1478019972685986697.jpg,104,117,141,152,4
1478019972685986697.jpg,125,130,126,135,5
1478019972685986697.jpg,162,184,139,157,1
1478019972685986697.jpg,179,183,114,123,5
1478019972685986697.jpg,180,197,140,150,1
1478019972685986697.jpg,182,193,139,146,1
1478019972685986697.jpg,201,206,111,119,5
1478019972685986697.jpg,201,207,110,120,5
1478019972685986697.jpg,242,250,115,128,5
1478019972685986697.jpg,270,302,131,148,1
1478019972685986697.jpg,275,285,135,154,3
1478019973185520968.jpg,48,79,143,156,1
1478019973185520968.jpg,50,77,143,154,1
1478019973185520968.jpg,83,97,141,153,4
1478019973185520968.jpg,118,125,125,134,5
1478019973185520968.jpg,157,184,138,155,1
1478019973185520968.jpg,175,180,111,120,5
1478019973185520968.jpg,178,196,139,151,1
1478019973185520968.jpg,179,193,137,149,1
1478019973185520968.jpg,199,204,109,117,5
1478019973185520968.jpg,199,206,108,119,5
1478019973185520968.jpg,245,252,111,124,5
1478019973185520968.jpg,271,308,132,148,1
1478019973185520968.jpg,276,288,131,154,3
1478019973687625979.jpg,59,72,146,156,4
1478019973687625979.jpg,65,100,143,156,1
1478019973687625979.jpg,66,102,144,155,1
1478019973687625979.jpg,110,116,125,134,5
1478019973687625979.jpg,111,118,125,135,5
1478019973687625979.jpg,152,178,138,158,1
1478019973687625979.jpg,170,179,107,120,5
1478019973687625979.jpg,172,176,109,118,5
1478019973687625979.jpg,175,193,140,152,1
1478019973687625979.jpg,177,191,139,149,1
1478019973687625979.jpg,197,204,106,117,5
1478019973687625979.jpg,198,203,107,116,5
1478019973687625979.jpg,247,255,111,124,5
1478019973687625979.jpg,271,308,132,150,1
1478019973687625979.jpg,282,294,133,157,3
1478019974179606198.jpg,31,44,146,155,4
1478019974179606198.jpg,90,129,140,154,1
1478019974179606198.jpg,94,130,144,155,1
1478019974179606198.jpg,103,110,125,135,5
1478019974179606198.jpg,104,110,123,134,5
1478019974179606198.jpg,121,140,137,156,4
1478019974179606198.jpg,124,143,136,157,4
1478019974179606198.jpg,145,177,138,158,1
1478019974179606198.jpg,168,177,103,116,5
1478019974179606198.jpg,169,173,107,116,5
1478019974179606198.jpg,173,189,139,151,1
1478019974179606198.jpg,174,193,139,151,1
1478019974179606198.jpg,195,204,102,115,5
1478019974179606198.jpg,197,202,104,113,5
1478019974179606198.jpg,240,246,121,133,5
1478019974179606198.jpg,251,258,105,118,5
1478019974179606198.jpg,280,322,133,145,1
1478019974179606198.jpg,284,321,131,149,1
1478019974179606198.jpg,289,300,131,159,3
1478019974679051391.jpg,87,110,136,160,4
1478019974679051391.jpg,88,107,140,159,4
1478019974679051391.jpg,95,101,122,134,5
1478019974679051391.jpg,95,102,124,134,5
1478019974679051391.jpg,124,162,140,158,1
1478019974679051391.jpg,127,163,142,153,1
1478019974679051391.jpg,136,171,136,160,1
1478019974679051391.jpg,163,172,103,116,5
1478019974679051391.jpg,166,170,105,114,5
1478019974679051391.jpg,170,186,138,152,1
1478019974679051391.jpg,194,202,100,115,5
1478019974679051391.jpg,196,201,101,110,5
1478019974679051391.jpg,242,248,118,131,5
1478019974679051391.jpg,254,261,103,116,5
1478019974679051391.jpg,284,340,131,148,1
1478019974679051391.jpg,292,334,131,148,1
1478019974679051391.jpg,301,314,129,160,3
1478019975180844551.jpg,46,72,136,164,4
1478019975180844551.jpg,49,68,139,158,4
1478019975180844551.jpg,85,92,120,129,5
1478019975180844551.jpg,86,93,119,131,5
1478019975180844551.jpg,123,165,134,161,1
1478019975180844551.jpg,161,170,100,113,5
1478019975180844551.jpg,161,168,100,110,5
1478019975180844551.jpg,166,177,136,150,1
1478019975180844551.jpg,168,219,134,153,1
1478019975180844551.jpg,168,220,135,151,1
1478019975180844551.jpg,193,201,94,109,5
1478019975180844551.jpg,194,198,96,107,5
1478019975180844551.jpg,243,251,115,128,5
1478019975180844551.jpg,244,250,116,129,5
1478019975180844551.jpg,258,267,94,109,5
1478019975180844551.jpg,292,350,131,143,1
1478019975180844551.jpg,294,349,127,148,1
1478019975180844551.jpg,316,333,127,163,3
1478019975685727611.jpg,0,14,137,167,4
1478019975685727611.jpg,74,82,118,132,5
1478019975685727611.jpg,74,81,118,128,5
1478019975685727611.jpg,97,129,141,167,1
1478019975685727611.jpg,102,153,133,166,1
1478019975685727611.jpg,129,150,137,160,2
1478019975685727611.jpg,155,164,97,110,5
1478019975685727611.jpg,155,163,95,109,5
1478019975685727611.jpg,158,182,133,150,1
1478019975685727611.jpg,159,182,136,151,1
1478019975685727611.jpg,190,198,91,106,5
1478019975685727611.jpg,192,196,92,105,5
1478019975685727611.jpg,224,290,130,152,1
1478019975685727611.jpg,226,285,132,151,1
1478019975685727611.jpg,244,252,115,128,5
1478019975685727611.jpg,246,252,114,127,5
1478019975685727611.jpg,262,273,87,105,5
1478019975685727611.jpg,297,365,123,150,1
1478019975685727611.jpg,339,364,120,176,3
1478019975685727611.jpg,402,421,134,149,1
1478019976185898081.jpg,63,71,116,130,5
1478019976185898081.jpg,75,138,131,168,1
1478019976185898081.jpg,149,158,91,104,5
1478019976185898081.jpg,154,177,137,151,1
1478019976185898081.jpg,188,196,85,100,5
1478019976185898081.jpg,247,255,110,123,5
1478019976185898081.jpg,268,279,76,97,5
1478019976185898081.jpg,305,385,124,151,1
1478019976687231684.jpg,30,115,135,181,1
1478019976687231684.jpg,46,55,119,133,5
1478019976687231684.jpg,141,150,92,105,5
1478019976687231684.jpg,147,171,139,156,1
1478019976687231684.jpg,168,182,142,156,1
1478019976687231684.jpg,182,190,86,101,5
1478019976687231684.jpg,245,253,113,127,5
1478019976687231684.jpg,271,284,68,91,5
1478019976687231684.jpg,312,400,123,153,1
1478019977188852426.jpg,121,129,88,105,5
1478019977188852426.jpg,128,154,138,157,1
1478019977188852426.jpg,150,164,142,156,1
1478019977188852426.jpg,166,174,82,97,5
1478019977188852426.jpg,235,243,112,125,5
1478019977188852426.jpg,266,281,51,81,5
1478019977188852426.jpg,311,411,120,153,1
1478019977680527341.jpg,80,109,143,163,1
1478019977680527341.jpg,105,119,148,163,1
1478019977680527341.jpg,109,120,147,168,1
1478019977680527341.jpg,118,127,81,99,5
1478019977680527341.jpg,195,203,112,128,5
1478019977680527341.jpg,196,204,113,126,5
1478019977680527341.jpg,227,245,36,70,5
1478019977680527341.jpg,279,388,119,158,1
1478019978180101986.jpg,211,346,125,172,1
1478019978686299906.jpg,139,274,124,170,1
1478019979179856014.jpg,38,199,120,175,1
1478019979179856014.jpg,383,422,119,158,4
1478019979680961324.jpg,401,479,100,158,2
1478019982681185768.jpg,245,386,116,182,2
1478019982681185768.jpg,363,379,138,176,3
1478019982681185768.jpg,440,458,133,174,3
1478019983181354848.jpg,224,365,121,188,2
1478019983181354848.jpg,345,361,137,175,3
1478019983181354848.jpg,407,425,136,177,3
1478019983689760521.jpg,193,335,122,188,2
1478019983689760521.jpg,319,335,139,178,3
1478019983689760521.jpg,369,387,137,178,3
1478020193690486111.jpg,134,155,141,163,1
1478020194190078499.jpg,126,147,140,162,1
1478020194190078499.jpg,141,158,143,160,1
1478020194190078499.jpg,143,155,144,156,1
1478020194690266730.jpg,113,134,141,164,1
1478020194690266730.jpg,130,151,146,162,1
1478020194690266730.jpg,134,149,146,158,1
1478020194690266730.jpg,226,235,142,154,1
1478020195196250051.jpg,99,125,140,162,1
1478020195196250051.jpg,123,144,144,161,1
1478020195196250051.jpg,126,140,146,159,1
1478020195196250051.jpg,227,235,139,151,1
1478020195689922407.jpg,83,109,144,166,1
1478020195689922407.jpg,108,134,148,165,1
1478020195689922407.jpg,109,131,149,165,1
1478020195689922407.jpg,228,236,143,155,1
1478020196196294557.jpg,55,91,150,174,1
1478020196196294557.jpg,90,122,149,168,1
1478020196196294557.jpg,92,118,150,170,1
1478020196196294557.jpg,228,237,143,154,1
1478020196696559542.jpg,19,71,142,174,1
1478020196696559542.jpg,71,108,146,170,1
1478020196696559542.jpg,71,108,145,168,1
1478020196696559542.jpg,228,238,143,154,1
1478020197191156937.jpg,47,92,144,169,1
1478020197191156937.jpg,48,91,142,166,1
1478020197191156937.jpg,232,242,138,150,1
1478020197691441017.jpg,4,62,145,173,1
1478020197691441017.jpg,6,62,145,172,1
1478020197691441017.jpg,230,240,138,150,1
1478020198191412480.jpg,229,239,139,150,1
1478020198691318173.jpg,153,173,140,151,1
1478020198691318173.jpg,229,239,139,150,1
1478020199190988152.jpg,147,167,143,154,1
1478020199190988152.jpg,151,168,143,153,1
1478020199190988152.jpg,228,238,139,151,1
1478020199190988152.jpg,258,274,140,147,1
1478020199190988152.jpg,262,270,131,141,5
1478020199696886386.jpg,145,165,143,154,1
1478020199696886386.jpg,147,164,145,155,1
1478020199696886386.jpg,227,237,140,151,1
1478020199696886386.jpg,265,273,133,143,5
1478020200190518278.jpg,140,161,144,155,1
1478020200190518278.jpg,228,238,140,152,1
1478020200190518278.jpg,264,275,133,143,5
1478020200690374841.jpg,129,149,144,155,1
1478020200690374841.jpg,227,237,141,152,1
1478020200690374841.jpg,264,275,133,143,5
1478020201190261169.jpg,120,146,146,156,1
1478020201190261169.jpg,226,236,142,153,1
1478020201190261169.jpg,264,275,133,143,5
1478020201689905548.jpg,109,134,144,155,1
1478020201689905548.jpg,220,231,138,151,1
1478020201689905548.jpg,236,243,124,135,5
1478020201689905548.jpg,263,274,132,142,5
1478020202188709849.jpg,91,115,143,155,1
1478020202188709849.jpg,211,227,139,151,1
1478020202188709849.jpg,231,238,122,134,5
1478020202188709849.jpg,257,268,129,139,5
1478020202688242798.jpg,200,216,139,152,1
1478020202688242798.jpg,223,230,126,137,5
1478020202688242798.jpg,250,261,131,141,5
1478020203195618875.jpg,194,210,141,153,1
1478020203195618875.jpg,205,211,127,137,5
1478020203195618875.jpg,207,211,141,154,1
1478020203195618875.jpg,219,226,127,138,5
1478020203195618875.jpg,248,256,132,142,5
1478020203690068016.jpg,36,71,145,155,1
1478020203690068016.jpg,192,208,140,152,1
1478020203690068016.jpg,202,208,125,136,5
1478020203690068016.jpg,209,213,141,154,1
1478020203690068016.jpg,215,222,125,136,5
1478020203690068016.jpg,248,255,130,140,5
1478020204198106423.jpg,18,63,146,156,1
1478020204198106423.jpg,192,208,140,153,1
1478020204198106423.jpg,206,212,126,136,5
1478020204198106423.jpg,211,215,142,155,1
1478020204198106423.jpg,219,226,123,134,5
1478020204198106423.jpg,252,260,129,139,5
1478020204688929584.jpg,7,51,148,162,1
1478020204688929584.jpg,193,209,141,154,1
1478020204688929584.jpg,207,213,126,137,5
1478020204688929584.jpg,213,217,142,155,1
1478020204688929584.jpg,221,228,123,134,5
1478020204688929584.jpg,257,264,129,138,5
1478020205189414278.jpg,24,37,148,161,1
1478020205189414278.jpg,196,214,141,155,1
1478020205189414278.jpg,215,219,143,156,1
1478020205189414278.jpg,215,221,126,137,5
1478020205189414278.jpg,231,238,124,136,5
1478020205189414278.jpg,268,275,133,143,5
1478020205689678816.jpg,175,182,135,144,5
1478020205689678816.jpg,200,220,141,157,1
1478020205689678816.jpg,221,227,125,135,5
1478020205689678816.jpg,221,225,144,157,1
1478020205689678816.jpg,238,245,124,136,5
1478020205689678816.jpg,276,283,131,140,5
1478020205689678816.jpg,277,284,130,141,5
1478020206190608784.jpg,174,181,135,144,5
1478020206190608784.jpg,200,219,141,160,1
1478020206190608784.jpg,221,230,144,155,1
1478020206190608784.jpg,223,229,124,135,5
1478020206190608784.jpg,242,249,123,135,5
1478020206190608784.jpg,281,288,129,140,5
1478020206190608784.jpg,282,290,129,138,5
1478020206697588208.jpg,173,180,135,144,5
1478020206697588208.jpg,184,202,145,157,1
1478020206697588208.jpg,186,199,147,156,1
1478020206697588208.jpg,200,219,141,162,1
1478020206697588208.jpg,220,228,143,157,1
1478020206697588208.jpg,224,230,123,134,5
1478020206697588208.jpg,241,248,122,134,5
1478020206697588208.jpg,285,292,128,138,5
1478020206697588208.jpg,285,293,128,139,5
1478020207190644712.jpg,170,192,146,156,1
1478020207190644712.jpg,172,190,146,158,1
1478020207190644712.jpg,192,219,139,160,1
1478020207190644712.jpg,218,225,141,159,1
1478020207190644712.jpg,220,226,123,134,5
1478020207190644712.jpg,240,247,122,134,5
1478020207190644712.jpg,285,293,128,138,5
1478020207190644712.jpg,287,295,126,137,5
1478020207697385417.jpg,146,174,144,154,1
1478020207697385417.jpg,148,176,145,156,1
1478020207697385417.jpg,186,215,139,161,1
1478020207697385417.jpg,213,222,142,159,1
1478020207697385417.jpg,213,224,141,159,1
1478020207697385417.jpg,219,225,122,133,5
1478020207697385417.jpg,221,225,123,131,5
1478020207697385417.jpg,238,245,121,133,5
1478020207697385417.jpg,239,243,120,129,5
1478020207697385417.jpg,289,297,126,135,5
1478020207697385417.jpg,290,297,125,136,5
1478020208191418605.jpg,125,153,146,155,1
1478020208191418605.jpg,127,155,146,157,1
1478020208191418605.jpg,181,211,138,162,1
1478020208191418605.jpg,210,221,141,159,1
1478020208191418605.jpg,211,216,140,160,1
1478020208191418605.jpg,215,223,141,158,1
1478020208191418605.jpg,219,225,122,132,5
1478020208191418605.jpg,219,225,122,131,5
1478020208191418605.jpg,238,245,119,131,5
1478020208191418605.jpg,239,243,117,126,5
1478020208191418605.jpg,294,302,123,134,5
1478020208191418605.jpg,294,302,124,135,5
1478020208698424055.jpg,95,127,147,160,1
1478020208698424055.jpg,99,126,148,160,1
1478020208698424055.jpg,172,207,136,167,1
1478020208698424055.jpg,202,215,144,165,1
1478020208698424055.jpg,207,215,143,163,1
1478020208698424055.jpg,215,222,143,160,1
1478020208698424055.jpg,218,224,121,132,5
1478020208698424055.jpg,218,225,122,130,5
1478020208698424055.jpg,236,244,120,129,5
1478020208698424055.jpg,238,245,117,129,5
1478020208698424055.jpg,299,307,122,133,5
1478020208698424055.jpg,300,307,121,134,5
1478020209190210692.jpg,64,96,144,158,1
1478020209190210692.jpg,68,95,146,158,1
1478020209190210692.jpg,151,158,134,143,5
1478020209190210692.jpg,164,202,135,171,1
1478020209190210692.jpg,200,214,142,163,1
1478020209190210692.jpg,203,214,142,162,1
1478020209190210692.jpg,213,220,143,160,1
1478020209190210692.jpg,217,223,119,130,5
1478020209190210692.jpg,217,224,119,127,5
1478020209190210692.jpg,238,244,115,125,5
1478020209190210692.jpg,238,245,114,125,5
1478020209190210692.jpg,305,314,115,131,5
1478020209190210692.jpg,308,315,117,130,5
1478020209691270577.jpg,27,54,146,157,1
1478020209691270577.jpg,144,159,143,160,1
1478020209691270577.jpg,147,154,131,140,5
1478020209691270577.jpg,154,198,133,173,1
1478020209691270577.jpg,196,214,142,163,1
1478020209691270577.jpg,197,213,138,144,1
1478020209691270577.jpg,200,211,143,164,1
1478020209691270577.jpg,215,222,117,125,5
1478020209691270577.jpg,216,222,114,125,5
1478020209691270577.jpg,237,245,113,122,5
1478020209691270577.jpg,238,245,110,124,5
1478020209691270577.jpg,273,281,125,136,5
1478020209691270577.jpg,275,284,127,139,5
1478020209691270577.jpg,314,324,113,129,5
1478020209691270577.jpg,316,323,112,127,5
1478020210190790169.jpg,121,145,144,161,1
1478020210190790169.jpg,123,147,143,160,1
1478020210190790169.jpg,145,195,132,174,1
1478020210190790169.jpg,192,214,142,163,1
1478020210190790169.jpg,194,214,140,161,1
1478020210190790169.jpg,213,219,114,124,5
1478020210190790169.jpg,213,219,115,124,5
1478020210190790169.jpg,237,245,107,122,5
1478020210190790169.jpg,238,245,111,120,5
1478020210190790169.jpg,275,283,125,136,5
1478020210190790169.jpg,276,285,127,138,5
1478020210190790169.jpg,325,335,110,125,5
1478020210190790169.jpg,327,335,107,125,5
1478020210691558747.jpg,82,119,143,159,1
1478020210691558747.jpg,88,119,144,160,1
1478020210691558747.jpg,130,191,128,177,1
1478020210691558747.jpg,187,212,141,161,1
1478020210691558747.jpg,188,215,143,166,1
1478020210691558747.jpg,211,217,110,121,5
1478020210691558747.jpg,212,217,113,122,5
1478020210691558747.jpg,237,245,104,119,5
1478020210691558747.jpg,238,244,109,118,5
1478020210691558747.jpg,278,286,124,135,5
1478020210691558747.jpg,278,287,127,138,5
1478020210691558747.jpg,341,350,101,120,5
1478020210691558747.jpg,341,351,103,119,5
1478020211190321969.jpg,39,81,141,157,1
1478020211190321969.jpg,41,81,143,159,1
1478020211190321969.jpg,115,188,125,180,1
1478020211190321969.jpg,182,211,140,160,1
1478020211190321969.jpg,183,210,139,162,1
1478020211190321969.jpg,209,215,107,118,5
1478020211190321969.jpg,211,215,109,117,5
1478020211190321969.jpg,237,245,102,117,5
1478020211190321969.jpg,238,242,104,114,5
1478020211190321969.jpg,280,289,120,132,5
1478020211190321969.jpg,281,289,121,133,5
1478020211190321969.jpg,360,373,92,114,5
1478020211190321969.jpg,360,373,89,112,5
1478020211690815798.jpg,87,102,139,161,1
1478020211690815798.jpg,92,103,143,161,1
1478020211690815798.jpg,95,178,124,183,1
1478020211690815798.jpg,173,202,141,166,1
1478020211690815798.jpg,175,202,140,166,1
1478020211690815798.jpg,207,212,105,114,5
1478020211690815798.jpg,207,213,105,115,5
1478020211690815798.jpg,236,244,98,113,5
1478020211690815798.jpg,238,243,101,111,5
1478020211690815798.jpg,284,292,119,131,5
1478020211690815798.jpg,284,293,120,132,5
1478020211690815798.jpg,389,404,79,104,5
1478020211690815798.jpg,391,405,83,105,5
1478020212192080435.jpg,37,77,133,166,1
1478020212192080435.jpg,39,83,134,161,1
1478020212192080435.jpg,76,169,123,187,1
1478020212192080435.jpg,157,185,137,162,1
1478020212192080435.jpg,165,184,135,168,1
1478020212192080435.jpg,203,210,102,111,5
1478020212192080435.jpg,204,210,101,111,5
1478020212192080435.jpg,236,244,94,109,5
1478020212192080435.jpg,237,244,97,109,5
1478020212192080435.jpg,288,295,118,129,5
1478020212192080435.jpg,288,297,119,130,5
1478020212192080435.jpg,437,454,59,91,5
1478020212689685926.jpg,44,152,117,197,1
1478020212689685926.jpg,160,180,142,156,1
1478020212689685926.jpg,203,210,101,111,5
1478020212689685926.jpg,237,245,94,107,5
1478020212689685926.jpg,296,303,117,129,5
1478020213196446056.jpg,0,120,117,208,1
1478020213196446056.jpg,154,173,143,157,1
1478020213196446056.jpg,201,208,94,107,5
1478020213196446056.jpg,242,248,87,101,5
1478020213196446056.jpg,305,312,115,127,5
1478020213690861968.jpg,64,74,111,127,5
1478020213690861968.jpg,147,166,141,155,1
1478020213690861968.jpg,200,207,87,103,5
1478020213690861968.jpg,246,252,79,95,5
1478020213690861968.jpg,315,321,113,125,5
1478020214191388441.jpg,43,53,106,123,5
1478020214191388441.jpg,43,53,107,123,5
1478020214191388441.jpg,130,161,138,156,1
1478020214191388441.jpg,135,161,138,157,1
1478020214191388441.jpg,195,207,75,96,5
1478020214191388441.jpg,197,203,85,101,5
1478020214191388441.jpg,248,256,71,90,5
1478020214191388441.jpg,248,255,78,93,5
1478020214191388441.jpg,325,335,106,120,5
1478020214191388441.jpg,326,333,112,123,5
1478020214697222108.jpg,115,151,149,168,1
1478020214697222108.jpg,117,148,149,168,1
1478020214697222108.jpg,189,201,77,99,5
1478020214697222108.jpg,194,200,83,99,5
1478020214697222108.jpg,250,259,74,95,5
1478020214697222108.jpg,250,259,76,92,5
1478020214697222108.jpg,339,349,119,133,5
1478020214697222108.jpg,340,346,122,133,5
1478020215192311942.jpg,95,131,150,169,1
1478020215192311942.jpg,95,133,151,173,1
1478020215192311942.jpg,183,195,72,93,5
1478020215192311942.jpg,183,198,74,94,5
1478020215192311942.jpg,249,260,68,89,5
1478020215192311942.jpg,251,262,66,86,5
1478020215192311942.jpg,356,365,119,133,5
1478020215192311942.jpg,357,366,116,131,5
1478020215691398311.jpg,58,112,149,178,1
1478020215691398311.jpg,64,114,152,176,1
1478020215691398311.jpg,172,184,52,79,5
1478020215691398311.jpg,174,184,54,79,5
